expected_time_no_traffic,vehicle_distance_mismatch,vehicle_traffic_stress,distance_km,vehicle_time_efficiency,traffic_weather_risk,is_peak_hour,operational_stress_index,route_frequency,delivery_time_hours,is_heavy_traffic_truck,traffic_level_medium,vehicle_type_car,vehicle_type_motorcycle,vehicle_type_pickup,vehicle_type_truck,vehicle_type_van,weather_clear,weather_clouds,weather_haze,weather_mist,route_traffic_volatility,destination_city_encoded,route_id_encoded,temperature,is_long_route
13.338333333333331,0.3752342871423216,2.0,800.3,1.0,2.0,0,0.2840351430713482,1554,12.71,0,0,0,0,0,1,0,0,0,0,1,1.4143702936492064,0,4,4.7,0
6.989999999999999,0.1612,2.0,419.4,0.7,1.0,0,0.30398,1553,7.88,0,0,0,0,0,1,0,0,1,0,0,0.7034348215264423,8,10,7.0,0
4.184285714285714,0.0236666666666667,1.5,292.9,0.765,2.0,0,0.298925,1555,3.93,0,0,0,0,1,0,0,0,0,0,1,0.5045728230755522,6,41,7.0,0
1.0453333333333334,0.3622448979591837,1.0,78.4,0.63,2.0,0,0.3387117346938775,1552,1.19,0,0,0,1,0,0,0,0,0,0,1,0.1227308108306087,4,11,7.0,0
8.133750000000001,1.0,1.2,650.7,0.9,1.0,0,0.3399999999999999,1555,8.83,0,0,1,0,0,0,0,0,1,0,0,1.0851999385904798,8,34,7.0,0
1.12,0.7386666666666667,3.0,78.4,0.81,2.0,0,0.4133,1552,1.31,0,1,0,0,1,0,0,0,0,1,0,0.1600150578006449,4,11,7.0,0
17.758333333333333,0.5307367433129986,5.0,1065.5,0.1399999999999999,4.0,1,0.7256105114969497,1554,22.38,1,1,0,0,0,1,0,0,0,0,1,2.0090150492622314,5,40,4.7,0
1.206153846153846,0.7386666666666667,5.0,78.4,0.21,4.0,1,0.7258,1552,1.48,0,1,0,0,0,0,1,0,0,0,1,0.1600150578006449,4,11,7.0,0
8.676,1.0,1.0,650.7,0.9,1.0,0,0.3575,1555,10.97,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34,4.7,0
8.676,1.0,1.0,650.7,0.81,1.0,0,0.4024999999999999,1555,10.86,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34,7.0,0
6.989999999999999,0.1612,2.0,419.4,1.0,1.0,0,0.23438,1553,7.45,0,0,0,0,0,1,0,0,1,0,0,0.7034348215264423,8,10,7.0,0
13.31875,1.0,1.2,1065.5,0.9,2.0,0,0.31525,1554,12.67,0,0,1,0,0,0,0,0,0,0,1,1.6515124965524606,5,40,7.0,0
8.676,1.0,1.0,650.7,0.63,1.0,0,0.488,1555,11.19,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34,4.7,0
3.076923076923077,0.3333333333333333,1.8,200.0,0.99,2.0,0,0.310125,1554,2.93,0,0,0,0,0,0,1,0,0,0,1,0.3015183344589135,7,18,4.7,0
3.076923076923077,0.3333333333333333,1.8,200.0,0.8,0.0,0,0.2709999999999999,1554,2.78,0,0,0,0,0,0,1,1,0,0,0,0.3015183344589135,7,18,4.7,0
3.333333333333333,0.6,2.0,200.0,1.0,1.0,0,0.3142399999999999,1554,3.68,0,0,0,0,0,1,0,0,1,0,0,0.357263066972239,8,19,7.0,0
3.333333333333333,0.6,2.0,200.0,1.0,0.0,0,0.269,1554,3.21,0,0,0,0,0,1,0,1,0,0,0,0.3020195910121652,4,16,4.7,0
10.010769230769233,0.5389580451821117,1.8,650.7,0.99,1.0,0,0.3146437067773167,1555,10.52,0,0,0,0,0,0,1,0,1,0,0,1.0851999385904798,8,34,7.0,0
2.7,0.676,2.0,162.0,0.7,2.0,0,0.3974,1554,2.77,0,0,0,0,0,1,0,0,0,0,1,0.2853590794861477,8,26,4.7,0
2.6666666666666665,0.75,3.0,200.0,0.51,4.0,1,0.585625,1554,4.18,0,1,0,1,0,0,0,0,0,0,1,0.3856605786833537,7,18,7.0,0
12.297142857142855,0.6514869888475836,1.5,860.8,0.765,1.0,0,0.3878330483271375,1555,12.94,0,0,0,0,1,0,0,0,1,0,0,1.523126808065,7,44,7.0,0
0.8712500000000001,0.6515000000000001,3.6,69.7,0.425,4.0,1,0.549725,1546,1.1,0,1,1,0,0,0,0,0,0,0,1,0.1336827725132032,4,1,7.0,0
10.798571428571428,0.6031221060986903,1.5,755.9,0.9,2.0,0,0.2879683159148035,1554,9.77,0,0,0,0,1,0,0,0,0,0,1,1.152604735651087,7,20,7.0,0
5.2425,0.784692417739628,1.7999999999999998,419.4,0.5,1.0,1,0.4497038626609441,1553,5.64,0,0,1,0,0,0,0,0,1,0,0,0.7034348215264423,8,10,4.7,0
10.845,0.231596741970186,2.0,650.7,1.0,1.0,0,0.2449395112955279,1555,12.38,0,0,0,0,0,1,0,0,1,0,0,1.0851999385904798,8,34,7.0,0
5.592,1.0,1.0,419.4,0.63,1.0,0,0.488,1553,7.31,0,0,0,1,0,0,0,0,1,0,0,0.7034348215264423,8,10,7.0,0
10.845,0.231596741970186,2.0,650.7,0.7,1.0,0,0.3145395112955279,1555,11.47,0,0,0,0,0,1,0,0,1,0,0,1.0851999385904798,8,34,7.0,0
1.12,0.7386666666666667,1.5,78.4,0.81,1.0,0,0.3082999999999999,1552,1.09,0,0,0,0,1,0,0,0,0,1,0,0.1227308108306087,4,11,4.7,0
10.010769230769233,0.5389580451821117,1.8,650.7,0.8,1.0,0,0.3540437067773167,1555,10.5,0,0,0,0,0,0,1,0,1,0,0,1.0851999385904798,8,34,4.7,0
14.206666666666669,1.0,1.0,1065.5,0.63,2.0,0,0.531875,1554,16.33,0,0,0,1,0,0,0,0,0,0,1,1.6515124965524606,5,40,4.7,0
5.592,1.0,1.0,419.4,0.9,1.0,0,0.38,1553,7.37,0,0,0,1,0,0,0,0,1,0,0,0.7034348215264423,8,10,4.7,0
9.295714285714286,0.5389580451821117,2.25,650.7,0.4,1.0,1,0.4693437067773167,1555,9.97,0,0,0,0,1,0,0,0,1,0,0,1.0851999385904798,8,34,4.7,0
5.2425,0.784692417739628,1.2,419.4,0.9,1.0,0,0.3077038626609442,1553,5.97,0,0,1,0,0,0,0,0,1,0,0,0.7034348215264423,8,10,4.7,0
2.857142857142857,0.3333333333333333,1.5,200.0,0.9,0.0,0,0.2249999999999999,1554,2.7,0,0,0,0,1,0,0,1,0,0,0,0.3020195910121652,4,16,4.7,0
6.452307692307692,0.284692417739628,1.8,419.4,0.99,1.0,0,0.2765038626609442,1553,6.71,0,0,0,0,0,0,1,0,1,0,0,0.7034348215264423,8,10,4.7,0
5.2425,0.784692417739628,1.2,419.4,0.7200000000000001,1.0,0,0.3594538626609441,1553,5.64,0,0,1,0,0,0,0,0,1,0,0,0.7034348215264423,8,10,7.0,0
4.96,1.0,1.0,372.0,0.9,2.0,0,0.385625,1554,5.83,0,0,0,1,0,0,0,0,0,0,1,0.6564234879666067,7,33,7.0,0
3.076923076923077,0.3333333333333333,1.8,200.0,0.8,0.0,0,0.2935,1554,2.87,0,0,0,0,0,0,1,1,0,0,0,0.3020195910121652,4,16,4.7,0
6.989999999999999,0.1612,2.0,419.4,1.0,1.0,0,0.23438,1553,7.4,0,0,0,0,0,1,0,0,1,0,0,0.7034348215264423,8,10,4.7,0
0.8712500000000001,0.6515000000000001,1.2,69.7,0.7200000000000001,2.0,0,0.3248499999999999,1546,0.88,0,0,1,0,0,0,0,0,0,0,1,0.1063668127260022,4,1,7.0,0
6.452307692307692,0.284692417739628,1.8,419.4,0.8,1.0,0,0.3159038626609441,1553,6.5,0,0,0,0,0,0,1,0,1,0,0,0.7034348215264423,8,10,4.7,0
7.032,1.0,1.0,527.4,0.9,1.0,0,0.3199999999999999,1555,8.99,0,0,0,1,0,0,0,0,1,0,0,0.9372457579680498,4,31,7.0,0
18.74714285714285,0.7713937361883716,1.5,1312.3,0.765,2.0,0,0.4374090604282557,1555,17.85,0,0,0,0,1,0,0,0,0,0,1,2.0015061436114707,0,22,4.7,0
15.221428571428572,0.7184420459877991,1.5,1065.5,0.765,2.0,0,0.3592663068981698,1554,14.86,0,0,0,0,1,0,0,0,0,0,1,1.6515124965524606,5,40,4.7,0
14.933846153846154,0.6909446790975585,5.0,970.7,0.21,4.0,1,0.7523917018646337,1555,17.21,0,1,0,0,0,0,1,0,0,0,1,2.055091212269686,3,38,4.7,0
